,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,SEASON_ID
5,1630637,Carlik Jones,Carlik,1610612743,DEN,24.0,2,1,1,0.5,2.0,187.8,145.5,145.5,202.4,200.0,200.0,-14.6,-54.5,-54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.182,0.235,109.49,124.96,104.13,124.96,0.029,11,1,2,0.5,1.0,0.5,22,20,1,16,22,1,1,1,22,22,22,21,22,22,22,21,22,22,22,22,1,1,17,18,11,5,1,1,1,22,21,21,20,21,8,2021-22
6,1628432,Davon Reed,Davon,1610612743,DEN,27.0,48,29,19,0.604,13.9,110.1,109.8,109.8,110.0,109.5,109.5,0.1,0.3,0.3,0.115,3.31,22.6,0.021,0.14,0.081,6.8,6.8,0.618,0.624,0.117,0.122,99.9,100.3,83.58,100.3,0.083,1382,81,161,1.7,3.4,0.503,10,10,13,6,14,12,12,12,8,6,6,12,14,14,12,2,7,14,9,12,5,5,4,6,21,21,13,9,9,11,13,13,14,15,7,2021-22
7,202326,DeMarcus Cousins,DeMarcus,1610612743,DEN,31.0,31,22,9,0.71,13.9,112.3,111.6,111.6,114.9,113.1,113.1,-2.7,-1.6,-1.6,0.209,0.77,14.4,0.116,0.29,0.202,18.8,18.8,0.515,0.565,0.304,0.314,99.13,100.23,83.53,100.23,0.117,900,94,206,3.0,6.6,0.456,13,13,6,1,15,9,11,11,19,20,20,15,15,15,5,18,13,2,2,2,22,22,16,13,2,2,18,10,10,2,12,11,8,9,12,2021-22
8,1630267,Facundo Campazzo,Facundo,1610612743,DEN,31.0,65,38,27,0.585,18.2,102.2,102.1,102.1,110.8,110.7,110.7,-8.7,-8.6,-8.6,0.276,3.28,35.7,0.019,0.08,0.048,10.9,10.9,0.459,0.503,0.143,0.148,99.32,99.38,82.82,99.38,0.073,2451,107,296,1.6,4.6,0.361,9,8,15,11,10,20,20,20,14,13,13,19,19,19,3,3,2,16,18,18,17,17,18,17,18,18,16,14,14,15,9,9,15,13,19,2021-22
9,203210,JaMychal Green,JaMychal,1610612743,DEN,32.0,67,36,31,0.537,16.2,106.9,106.8,106.8,110.6,110.3,110.3,-3.7,-3.5,-3.5,0.084,1.04,12.1,0.073,0.187,0.129,11.7,11.8,0.537,0.587,0.168,0.172,99.16,99.32,82.77,99.32,0.093,2241,159,327,2.4,4.9,0.486,7,9,20,15,13,16,15,15,12,9,9,16,17,17,16,16,18,5,5,4,18,18,11,8,13,14,17,16,16,8,7,8,10,12,10,2021-22
10,203516,James Ennis III,James,1610612743,DEN,31.0,3,1,2,0.333,4.6,76.8,81.5,81.5,110.8,111.1,111.1,-34.0,-29.6,-29.6,0.6,3.0,30.0,0.045,0.083,0.059,10.0,9.6,0.333,0.311,0.206,0.228,96.44,93.46,77.88,93.46,0.032,27,2,6,0.7,2.0,0.333,20,20,2,20,20,22,22,22,13,15,15,22,21,21,1,4,3,9,17,16,13,13,22,22,6,7,22,22,22,21,20,20,19,18,21,2021-22
11,201145,Jeff Green,Jeff,1610612743,DEN,35.0,75,44,31,0.587,24.7,112.3,113.3,113.3,111.6,111.5,111.5,0.7,1.8,1.8,0.071,1.35,12.3,0.024,0.1,0.063,9.1,9.1,0.574,0.627,0.16,0.164,99.97,99.56,82.97,99.56,0.075,3831,277,529,3.7,7.1,0.524,1,3,20,8,6,10,8,8,17,17,17,10,10,10,19,14,17,13,15,15,10,10,7,5,14,15,11,12,12,13,5,6,6,7,4,2021-22
12,1630210,Markus Howard,Markus,1610612743,DEN,23.0,31,17,14,0.548,5.7,108.6,107.9,107.9,115.1,112.8,112.8,-6.5,-4.9,-4.9,0.068,1.0,5.7,0.01,0.064,0.033,5.7,5.6,0.525,0.567,0.264,0.284,101.2,102.53,85.44,102.53,0.087,380,39,101,1.3,3.3,0.386,13,14,11,14,19,14,13,13,20,19,19,18,18,18,20,17,21,21,19,20,3,3,14,11,3,3,6,6,6,9,14,15,17,16,17,2021-22
13,1629008,Michael Porter Jr.,Michael,1610612743,DEN,24.0,9,5,4,0.556,29.4,103.8,104.5,104.5,94.5,94.7,94.7,9.2,9.8,9.8,0.085,1.42,12.6,0.035,0.172,0.108,8.9,8.8,0.408,0.416,0.192,0.197,100.79,100.33,83.61,100.33,0.074,556,37,103,4.1,11.4,0.359,19,17,4,13,5,19,17,17,1,1,1,1,1,1,15,12,15,12,6,6,8,7,20,21,9,10,7,8,8,14,15,14,5,3,20,2021-22
14,1628420,Monte Morris,Monte,1610612743,DEN,27.0,75,44,31,0.587,29.9,114.6,116.3,116.3,109.9,110.4,110.4,4.7,6.0,6.0,0.201,4.27,27.3,0.013,0.087,0.052,6.4,6.4,0.564,0.583,0.173,0.175,99.54,98.55,82.13,98.55,0.098,4601,374,773,5.0,10.3,0.484,1,3,20,8,4,5,5,5,7,10,10,5,4,4,6,1,4,18,16,17,4,4,9,9,12,12,15,21,21,4,4,4,4,5,11,2021-22
