,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON_ID
20,203115,Will Barton,1610612743,DEN,30.0,6-6,78,181,Memphis,USA,2012,2,40,56,12.7,4.0,3.2,6.0,0.024,0.109,0.187,0.538,0.135,2020-21
21,1630192,Zeke Nnaji,1610612743,DEN,20.0,6-9,81,240,Arizona,USA,2020,1,22,42,3.2,1.5,0.2,-10.5,0.034,0.129,0.126,0.615,0.037,2020-21
0,1629626,Bol Bol,1610612743,DEN,20.0,7-2,86,220,Oregon,Sudan,2019,2,44,7,5.7,2.7,0.9,-9.8,0.057,0.171,0.206,0.617,0.103,2019-20
1,203914,Gary Harris,1610612743,DEN,25.0,6-4,76,210,Michigan State,USA,2014,1,19,56,10.4,2.9,2.1,3.4,0.015,0.077,0.15,0.519,0.091,2019-20
2,1627750,Jamal Murray,1610612743,DEN,23.0,6-4,76,215,Kentucky,Canada,2016,1,7,59,18.5,4.0,4.8,5.3,0.024,0.101,0.248,0.559,0.228,2019-20
4,203924,Jerami Grant,1610612743,DEN,26.0,6-8,80,210,Syracuse,USA,2014,2,39,71,12.0,3.5,1.2,-2.1,0.031,0.099,0.177,0.591,0.068,2019-20
7,1628966,Keita Bates-Diop,1610612743,DEN,24.0,6-8,80,229,Ohio State,USA,2018,2,48,7,5.3,2.4,0.0,-4.1,0.039,0.138,0.152,0.571,0.0,2019-20
9,203486,Mason Plumlee,1610612743,DEN,30.0,6-11,83,254,Duke,USA,2013,1,22,61,7.2,5.2,2.5,-1.0,0.087,0.195,0.173,0.613,0.21,2019-20
10,1629008,Michael Porter Jr.,1610612743,DEN,22.0,6-10,82,218,Missouri,USA,2018,1,14,55,9.3,4.7,0.8,0.7,0.07,0.214,0.211,0.617,0.074,2019-20
11,1628420,Monte Morris,1610612743,DEN,25.0,6-2,74,183,Iowa State,USA,2017,2,51,73,9.0,1.9,3.5,0.8,0.014,0.067,0.168,0.545,0.219,2019-20
12,203999,Nikola Jokic,1610612743,DEN,25.0,7-0,84,284,None,Serbia,2014,2,41,73,19.9,9.7,7.0,4.5,0.073,0.237,0.266,0.605,0.35,2019-20
13,203943,Noah Vonleh,1610612743,DEN,24.0,6-10,82,257,Indiana,USA,2014,1,9,7,1.9,1.1,0.3,-9.5,0.083,0.179,0.133,0.838,0.105,2019-20
14,1628408,PJ Dozier,1610612743,DEN,23.0,6-6,78,205,South Carolina,USA,Undrafted,Undrafted,Undrafted,29,5.8,1.9,2.2,-5.7,0.024,0.108,0.199,0.495,0.216,2019-20
15,200794,Paul Millsap,1610612743,DEN,35.0,6-7,79,257,Louisiana Tech,USA,2006,2,47,51,11.6,5.7,1.6,9.3,0.079,0.157,0.197,0.591,0.093,2019-20
16,1628470,Torrey Craig,1610612743,DEN,29.0,6-7,79,221,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted,58,5.4,3.3,0.8,-5.7,0.058,0.118,0.123,0.553,0.061,2019-20
17,203584,Troy Daniels,1610612743,DEN,28.0,6-4,76,200,Virginia Commonwealth,USA,Undrafted,Undrafted,Undrafted,6,4.3,1.0,0.5,2.4,0.0,0.077,0.161,0.464,0.059,2019-20
18,1629076,Tyler Cook,1610612743,DEN,22.0,6-8,80,255,Iowa,USA,Undrafted,Undrafted,Undrafted,2,2.0,2.0,0.0,-4.6,0.1,0.091,0.114,0.694,0.0,2019-20
19,1628427,Vlatko Cancar,1610612743,DEN,23.0,6-8,80,236,None,Slovenia,2017,2,49,14,1.2,0.7,0.2,-6.0,0.109,0.119,0.177,0.507,0.086,2019-20
20,203115,Will Barton,1610612743,DEN,29.0,6-5,77,181,Memphis,USA,2012,2,40,58,15.1,6.3,3.7,5.8,0.04,0.147,0.197,0.549,0.157,2019-20
0,1629164,Brandon Goodwin,1610612743,DEN,23.0,6-2,74,180,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted,16,1.4,0.2,0.9,8.0,0.016,0.038,0.22,0.413,0.298,2018-19
1,1629152,DeVaughn Akoon-Purcell,1610612743,DEN,26.0,6-6,78,200,Illinois State,Trinidad and Tobago,2016,,,7,1.0,0.6,0.9,4.2,0.043,0.15,0.228,0.322,0.375,2018-19
2,203914,Gary Harris,1610612743,DEN,24.0,6-4,76,210,Michigan State,USA,2014,1,19,57,12.9,2.8,2.2,6.2,0.024,0.07,0.195,0.526,0.11,2018-19
3,202738,Isaiah Thomas,1610612743,DEN,30.0,5-9,69,185,Washington,USA,2011,2,60,12,8.1,1.1,1.9,-5.5,0.023,0.04,0.274,0.437,0.198,2018-19
4,1627750,Jamal Murray,1610612743,DEN,22.0,6-4,76,207,Kentucky,Canada,2016,1,7,75,18.2,4.2,4.8,4.8,0.026,0.101,0.241,0.538,0.22,2018-19
5,1629020,Jarred Vanderbilt,1610612743,DEN,20.0,6-9,81,214,Kentucky,USA,2018,2,41,17,1.4,1.4,0.2,4.5,0.084,0.205,0.179,0.513,0.064,2018-19
6,1627823,Juancho Hernangomez,1610612743,DEN,23.0,6-9,81,230,None,Spain,2016,1,15,70,5.8,3.8,0.8,1.3,0.044,0.144,0.119,0.58,0.054,2018-19
7,1627736,Malik Beasley,1610612743,DEN,22.0,6-5,77,195,Florida State,USA,2016,1,19,81,11.3,2.5,1.2,3.9,0.018,0.085,0.181,0.599,0.074,2018-19
8,203486,Mason Plumlee,1610612743,DEN,29.0,6-11,83,235,Duke,USA,2013,1,22,82,7.8,6.4,3.0,3.2,0.091,0.198,0.159,0.602,0.199,2018-19
9,1628420,Monte Morris,1610612743,DEN,24.0,6-3,75,175,Iowa State,USA,2017,2,51,82,10.4,2.4,3.6,4.3,0.017,0.078,0.168,0.577,0.221,2018-19
10,201156,Nick Young,1610612743,DEN,34.0,6-7,79,210,Southern California,USA,2007,1,16,4,2.3,0.3,0.5,-5.1,0.0,0.026,0.126,0.5,0.077,2018-19
11,203999,Nikola Jokic,1610612743,DEN,24.0,7-0,84,250,None,Serbia,2014,2,41,80,20.1,10.8,7.3,5.8,0.089,0.249,0.271,0.589,0.361,2018-19
12,200794,Paul Millsap,1610612743,DEN,34.0,6-8,80,246,Louisiana Tech,USA,2006,2,47,70,12.6,7.2,2.0,8.6,0.078,0.182,0.191,0.57,0.104,2018-19
13,1629118,Thomas Welsh,1610612743,DEN,23.0,7-0,84,255,UCLA,USA,2018,2,58,11,1.6,0.4,0.5,2.3,0.0,0.114,0.153,0.648,0.2,2018-19
14,1628470,Torrey Craig,1610612743,DEN,28.0,6-7,79,215,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted,75,5.7,3.5,1.0,3.3,0.057,0.112,0.121,0.547,0.062,2018-19
15,1626168,Trey Lyles,1610612743,DEN,23.0,6-10,82,234,Kentucky,Canada,2015,1,12,64,8.5,3.8,1.4,0.0,0.036,0.172,0.229,0.5,0.116,2018-19
16,1628399,Tyler Lydon,1610612743,DEN,23.0,6-10,82,225,Syracuse,USA,2017,1,24,25,0.9,0.7,0.2,-8.3,0.062,0.133,0.097,0.595,0.087,2018-19
17,203115,Will Barton,1610612743,DEN,28.0,6-6,78,190,Memphis,USA,2012,2,40,43,11.5,4.6,2.9,0.6,0.026,0.137,0.195,0.501,0.146,2018-19
0,201589,Darrell Arthur,1610612743,DEN,30.0,6-9,81,235,Kansas,USA,2008,1,27,19,2.8,0.8,0.5,-10.5,0.021,0.087,0.188,0.559,0.101,2017-18
1,2734,Devin Harris,1610612743,DEN,35.0,6-3,75,185,Wisconsin,USA,2004,1,5,27,8.2,1.6,2.5,-0.8,0.006,0.07,0.173,0.568,0.175,2017-18
3,203914,Gary Harris,1610612743,DEN,23.0,6-4,76,210,Michigan State,USA,2014,1,19,67,17.5,2.6,2.9,3.5,0.016,0.061,0.204,0.597,0.128,2017-18
4,1627750,Jamal Murray,1610612743,DEN,21.0,6-4,76,207,Kentucky,Canada,2016,1,7,81,16.7,3.7,3.4,3.7,0.033,0.087,0.223,0.576,0.159,2017-18
5,1627823,Juancho Hernangomez,1610612743,DEN,22.0,6-9,81,230,None,Spain,2016,1,15,25,3.3,2.2,0.5,-4.2,0.062,0.139,0.134,0.511,0.06,2017-18
6,202702,Kenneth Faried,1610612743,DEN,28.0,6-8,80,228,Morehead State,USA,2011,1,22,32,5.9,4.8,0.6,-5.0,0.135,0.193,0.173,0.552,0.064,2017-18
