,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,SEASON_ID
17,1627822,Petr Cornelie,1610612743,DEN,26.0,13,2.9,0.85,0.46,0.38,0.15,0.0,0.46,1.15,0.0,0.08,0.08,0.0,1.0,0.15,0.23,0.38,0.38,0.15,0.4,0.6,1.0,0.4,2021-22
19,1628427,Vlatko Cancar,1610612743,DEN,25.0,15,11.8,3.0,1.8,1.2,0.2,0.0,0.2,0.6,0.07,0.13,0.2,0.333,0.667,0.0,0.07,0.07,0.07,0.0,0.0,1.0,1.0,0.0,2021-22
20,203115,Will Barton,1610612743,DEN,31.0,71,32.1,4.54,2.2,2.34,1.34,0.0,0.1,0.21,0.18,0.21,0.39,0.464,0.536,0.01,0.06,0.07,0.07,0.03,0.2,0.8,1.0,0.4,2021-22
21,1630192,Zeke Nnaji,1610612743,DEN,21.0,41,17.0,3.68,2.0,1.68,0.76,0.0,0.95,2.37,0.24,0.15,0.39,0.625,0.375,0.54,0.73,1.27,1.15,0.76,0.423,0.577,0.979,0.646,2021-22
0,203932,Aaron Gordon,1610612743,DEN,25.0,25,25.9,3.76,2.24,1.52,0.84,0.0,0.56,1.36,0.32,0.2,0.52,0.615,0.385,0.28,0.12,0.4,0.36,0.36,0.7,0.3,0.9,0.9,2020-21
1,203085,Austin Rivers,1610612743,DEN,28.0,15,26.9,3.53,1.33,2.2,1.33,0.0,0.13,0.33,0.13,0.2,0.33,0.4,0.6,0.0,0.2,0.2,0.2,0.2,0.0,1.0,1.0,1.0,2020-21
2,1629626,Bol Bol,1610612743,DEN,21.0,32,5.0,1.56,0.69,0.88,0.13,0.0,0.03,0.06,0.03,0.09,0.13,0.25,0.75,0.0,0.03,0.03,0.03,0.03,0.0,1.0,1.0,1.0,2020-21
3,1630267,Facundo Campazzo,1610612743,DEN,30.0,65,21.9,3.0,1.26,1.74,2.71,0.11,0.15,0.34,0.26,0.57,0.83,0.315,0.685,0.02,0.23,0.25,0.17,0.03,0.063,0.938,0.733,0.133,2020-21
6,204222,Greg Whittington,1610612743,DEN,28.0,4,3.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.0,2020-21
8,203210,JaMychal Green,1610612743,DEN,31.0,58,19.3,3.76,2.0,1.76,0.78,0.02,0.88,2.12,0.14,0.24,0.38,0.364,0.636,0.38,1.07,1.45,1.05,0.66,0.262,0.738,0.938,0.585,2020-21
9,201580,JaVale McGee,1610612743,DEN,33.0,13,13.5,4.38,3.23,1.15,0.69,0.0,2.15,5.08,0.31,0.08,0.38,0.8,0.2,0.23,1.15,1.38,1.31,0.85,0.167,0.833,1.0,0.647,2020-21
10,1627750,Jamal Murray,1610612743,DEN,24.0,48,35.5,5.65,2.35,3.29,2.27,0.08,1.27,2.79,0.52,0.52,1.04,0.5,0.5,0.0,0.27,0.27,0.23,0.08,0.0,1.0,1.0,0.364,2020-21
11,1630210,Markus Howard,1610612743,DEN,22.0,37,5.5,0.81,0.16,0.65,0.24,0.03,0.08,0.22,0.03,0.05,0.08,0.333,0.667,0.0,0.08,0.08,0.08,0.03,0.0,1.0,1.0,0.333,2020-21
12,1629008,Michael Porter Jr.,1610612743,DEN,23.0,61,31.3,6.21,3.69,2.52,1.21,0.0,0.11,0.31,0.43,0.36,0.79,0.542,0.458,0.31,0.31,0.62,0.51,0.44,0.5,0.5,0.969,0.844,2020-21
13,1628420,Monte Morris,1610612743,DEN,26.0,47,25.5,3.57,1.6,1.98,0.98,0.02,0.23,0.51,0.23,0.26,0.49,0.478,0.522,0.0,0.21,0.21,0.17,0.02,0.0,1.0,1.0,0.125,2020-21
14,203999,Nikola Jokic,1610612743,DEN,26.0,72,34.6,9.14,6.86,2.28,2.76,0.0,4.49,10.15,0.5,0.26,0.76,0.655,0.345,0.86,2.22,3.08,2.46,1.42,0.279,0.721,0.957,0.551,2020-21
15,1628408,PJ Dozier,1610612743,DEN,24.0,50,21.8,4.18,2.2,1.98,1.28,0.0,0.1,0.22,0.34,0.32,0.66,0.515,0.485,0.0,0.38,0.38,0.34,0.04,0.0,1.0,1.0,0.118,2020-21
16,200794,Paul Millsap,1610612743,DEN,36.0,56,20.8,4.66,2.77,1.89,1.84,0.09,0.98,2.32,0.41,0.23,0.64,0.639,0.361,0.38,0.75,1.13,1.0,0.68,0.333,0.667,0.982,0.667,2020-21
18,1627885,Shaquille Harrison,1610612743,DEN,27.0,17,16.3,2.59,1.0,1.59,1.88,0.0,0.12,0.24,0.35,0.12,0.47,0.75,0.25,0.0,0.12,0.12,0.12,0.0,0.0,1.0,1.0,0.0,2020-21
19,1628427,Vlatko Cancar,1610612743,DEN,24.0,41,6.9,1.56,0.66,0.9,0.29,0.0,0.12,0.29,0.02,0.1,0.12,0.2,0.8,0.05,0.29,0.34,0.22,0.1,0.143,0.857,0.9,0.4,2020-21
20,203115,Will Barton,1610612743,DEN,30.0,56,31.0,4.73,1.98,2.75,1.57,0.04,0.16,0.36,0.16,0.27,0.43,0.375,0.625,0.04,0.16,0.2,0.18,0.07,0.182,0.818,0.909,0.364,2020-21
21,1630192,Zeke Nnaji,1610612743,DEN,20.0,42,9.5,2.52,1.36,1.17,0.52,0.0,0.26,0.62,0.05,0.07,0.12,0.4,0.6,0.1,0.5,0.6,0.31,0.12,0.16,0.84,0.929,0.357,2020-21
0,1629626,Bol Bol,1610612743,DEN,20.0,7,12.4,5.14,2.71,2.43,0.71,0.0,0.29,0.86,0.14,0.14,0.29,0.5,0.5,0.0,0.57,0.57,0.14,0.0,0.0,1.0,1.0,0.0,2019-20
1,203914,Gary Harris,1610612743,DEN,25.0,56,31.8,4.52,1.57,2.95,2.61,0.05,0.25,0.61,0.34,0.7,1.04,0.328,0.672,0.0,0.5,0.5,0.36,0.05,0.0,1.0,0.87,0.13,2019-20
2,1627750,Jamal Murray,1610612743,DEN,23.0,59,32.3,6.61,2.95,3.66,2.08,0.08,0.66,1.42,0.58,0.66,1.24,0.466,0.534,0.08,0.73,0.81,0.47,0.08,0.104,0.896,0.933,0.167,2019-20
4,203924,Jerami Grant,1610612743,DEN,26.0,71,26.6,6.83,4.01,2.82,1.31,0.07,0.56,1.34,0.3,0.23,0.52,0.568,0.432,0.17,1.94,2.11,0.82,0.17,0.08,0.92,0.795,0.164,2019-20
7,1628966,Keita Bates-Diop,1610612743,DEN,24.0,7,14.0,4.71,3.71,1.0,0.57,0.0,0.43,1.14,0.0,0.14,0.14,0.0,1.0,0.0,0.29,0.29,0.0,0.0,0.0,1.0,0.0,0.0,2019-20
9,203486,Mason Plumlee,1610612743,DEN,30.0,61,17.3,6.2,4.39,1.8,1.31,0.11,2.44,5.36,0.18,0.15,0.33,0.55,0.45,0.34,1.25,1.59,0.72,0.28,0.216,0.784,0.8,0.309,2019-20
10,1629008,Michael Porter Jr.,1610612743,DEN,22.0,55,16.4,4.55,2.91,1.64,0.85,0.0,0.05,0.15,0.27,0.2,0.47,0.577,0.423,0.13,0.24,0.36,0.2,0.11,0.35,0.65,0.786,0.429,2019-20
11,1628420,Monte Morris,1610612743,DEN,25.0,73,22.4,3.0,1.55,1.45,1.22,0.05,0.3,0.63,0.3,0.29,0.59,0.512,0.488,0.0,0.49,0.49,0.23,0.03,0.0,1.0,0.654,0.077,2019-20
12,203999,Nikola Jokic,1610612743,DEN,25.0,73,32.0,8.81,6.23,2.58,2.79,0.07,4.05,9.03,0.51,0.52,1.03,0.493,0.507,0.62,3.52,4.14,2.45,1.37,0.149,0.851,0.886,0.495,2019-20
13,203943,Noah Vonleh,1610612743,DEN,24.0,7,4.3,1.14,0.57,0.57,0.0,0.0,0.71,1.86,0.14,0.0,0.14,1.0,0.0,0.14,0.29,0.43,0.29,0.29,0.333,0.667,1.0,1.0,2019-20
14,1628408,PJ Dozier,1610612743,DEN,23.0,29,14.2,2.97,1.9,1.07,0.76,0.03,0.1,0.21,0.21,0.17,0.38,0.545,0.455,0.0,0.55,0.55,0.24,0.07,0.0,1.0,0.636,0.182,2019-20
15,200794,Paul Millsap,1610612743,DEN,35.0,51,24.3,7.1,4.04,3.06,1.55,0.08,0.51,1.18,0.33,0.51,0.84,0.395,0.605,0.55,1.35,1.9,1.12,0.55,0.289,0.711,0.77,0.378,2019-20
16,1628470,Torrey Craig,1610612743,DEN,29.0,58,18.5,5.09,2.86,2.22,0.81,0.0,0.12,0.26,0.26,0.22,0.48,0.536,0.464,0.09,0.22,0.31,0.21,0.09,0.278,0.722,0.857,0.357,2019-20
17,203584,Troy Daniels,1610612743,DEN,28.0,6,12.7,2.0,0.5,1.5,0.33,0.0,0.0,0.0,0.17,0.17,0.33,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,2019-20
18,1629076,Tyler Cook,1610612743,DEN,22.0,2,9.6,2.5,0.5,2.0,1.5,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,2019-20
19,1628427,Vlatko Cancar,1610612743,DEN,23.0,14,3.2,1.14,0.5,0.64,0.29,0.0,0.43,0.93,0.21,0.0,0.21,1.0,0.0,0.14,0.0,0.14,0.14,0.14,1.0,0.0,1.0,1.0,2019-20
20,203115,Will Barton,1610612743,DEN,29.0,58,33.0,6.79,3.38,3.41,1.55,0.02,0.19,0.4,0.41,0.6,1.02,0.407,0.593,0.0,0.33,0.33,0.28,0.12,0.0,1.0,1.0,0.438,2019-20
0,1629164,Brandon Goodwin,1610612743,DEN,23.0,16,3.6,0.69,0.31,0.38,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.13,0.06,0.0,1.0,1.0,0.5,2018-19
1,1629152,DeVaughn Akoon-Purcell,1610612743,DEN,26.0,7,3.1,0.43,0.14,0.29,0.14,0.0,0.0,0.0,0.29,0.29,0.57,0.5,0.5,0.0,0.29,0.29,0.14,0.0,0.0,1.0,1.0,0.0,2018-19
2,203914,Gary Harris,1610612743,DEN,24.0,57,28.8,4.33,1.63,2.7,2.0,0.05,0.26,0.54,0.39,0.86,1.25,0.31,0.69,0.0,0.74,0.74,0.49,0.07,0.0,1.0,0.903,0.129,2018-19
3,202738,Isaiah Thomas,1610612743,DEN,30.0,12,15.1,1.92,0.83,1.08,0.83,0.0,0.08,0.25,0.17,0.33,0.5,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4,1627750,Jamal Murray,1610612743,DEN,22.0,75,32.6,6.48,3.19,3.29,1.64,0.05,0.85,1.85,0.57,0.71,1.28,0.448,0.552,0.07,0.99,1.05,0.67,0.16,0.063,0.937,0.909,0.218,2018-19
5,1629020,Jarred Vanderbilt,1610612743,DEN,20.0,17,4.1,1.76,1.18,0.59,0.41,0.0,0.24,0.53,0.12,0.06,0.18,0.667,0.333,0.0,0.12,0.12,0.0,0.0,0.0,1.0,0.0,0.0,2018-19
6,1627823,Juancho Hernangomez,1610612743,DEN,23.0,70,19.4,5.83,3.39,2.44,0.66,0.01,0.14,0.3,0.27,0.31,0.59,0.463,0.537,0.2,1.33,1.53,0.56,0.21,0.131,0.869,0.83,0.319,2018-19
7,1627736,Malik Beasley,1610612743,DEN,22.0,81,23.2,4.37,2.25,2.12,1.12,0.05,0.06,0.12,0.36,0.46,0.81,0.439,0.561,0.01,0.99,1.0,0.59,0.11,0.012,0.988,0.873,0.164,2018-19
8,203486,Mason Plumlee,1610612743,DEN,29.0,82,21.1,6.45,4.38,2.07,1.6,0.06,2.51,5.5,0.49,0.35,0.84,0.58,0.42,1.11,2.57,3.68,1.7,0.71,0.301,0.699,0.848,0.354,2018-19
9,1628420,Monte Morris,1610612743,DEN,24.0,82,24.0,4.34,1.78,2.56,1.34,0.09,0.26,0.59,0.29,0.55,0.84,0.348,0.652,0.02,0.96,0.99,0.74,0.1,0.025,0.975,0.938,0.123,2018-19
10,201156,Nick Young,1610612743,DEN,34.0,4,9.3,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,1.0,1.0,0.0,2018-19
