,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,SEASON_ID
2,1629626,Bol Bol,Bol,1610612743,DEN,21.0,32,21,11,0.656,5.0,119.3,0.8,0.154,0.198,0.1,0.15,0.3,0.435,2.4,0.9,2.6,5.3,0.002,13,13,8,12,20,21,19,8,9,20,14,10,3,3,2,5,3,21,2020-21
3,1630267,Facundo Campazzo,Facundo,1610612743,DEN,30.0,65,43,22,0.662,21.9,108.8,1.7,0.081,0.113,1.2,0.32,0.2,0.116,7.0,5.0,5.1,19.8,0.076,2,2,21,10,9,7,14,19,19,3,2,14,13,14,14,13,14,8,2020-21
4,1629109,Gary Clark,Gary,1610612755,PHI,26.0,2,2,0,1.0,2.1,177.8,0.5,0.143,0.333,0.0,0.0,0.0,0.0,3.5,2.5,1.5,4.0,-0.036,22,22,1,1,22,22,21,9,2,21,21,21,21,8,6,1,2,22,2020-21
5,203914,Gary Harris,Gary,1610612753,ORL,26.0,19,11,8,0.579,30.6,111.2,1.8,0.059,0.085,0.9,0.179,0.2,0.095,10.6,7.0,7.5,28.5,0.083,17,18,7,20,5,12,13,21,21,6,11,15,16,20,17,18,18,5,2020-21
6,204222,Greg Whittington,Greg,1610612743,DEN,28.0,4,3,1,0.75,3.0,70.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.048,21,21,2,3,21,1,22,22,22,21,21,21,21,1,1,1,1,16,2020-21
7,1628392,Isaiah Hartenstein,Isaiah,1610612739,CLE,23.0,30,16,14,0.533,9.1,99.3,1.5,0.157,0.237,0.4,0.186,0.7,0.556,3.4,2.8,2.1,7.0,0.059,14,15,13,22,17,2,16,7,7,14,8,3,2,5,8,3,6,14,2020-21
8,203210,JaMychal Green,JaMychal,1610612743,DEN,31.0,58,38,20,0.655,19.3,107.6,3.3,0.177,0.251,0.4,0.134,0.4,0.212,5.7,4.5,4.7,17.6,0.073,4,4,19,14,12,6,6,4,6,13,17,9,8,11,13,11,11,10,2020-21
9,201580,JaVale McGee,JaVale,1610612743,DEN,33.0,13,8,5,0.615,13.5,103.6,3.5,0.234,0.317,0.2,0.15,1.1,0.667,4.7,3.4,3.4,10.9,0.068,20,20,3,19,14,4,3,2,3,16,14,1,1,9,9,9,9,12,2020-21
10,1627750,Jamal Murray,Jamal,1610612743,DEN,24.0,48,31,17,0.646,35.5,110.6,3.3,0.095,0.138,1.3,0.223,0.3,0.09,11.2,7.7,9.4,32.5,0.104,8,8,15,17,1,11,7,17,16,1,6,13,17,22,22,20,22,2,2020-21
11,1630210,Markus Howard,Markus,1610612743,DEN,22.0,37,24,13,0.649,5.5,110.5,0.5,0.095,0.131,0.1,0.138,0.0,0.048,2.0,1.4,2.2,6.0,0.018,12,12,11,16,19,10,20,16,17,19,16,20,19,2,4,4,4,19,2020-21
12,1629008,Michael Porter Jr.,Michael,1610612743,DEN,23.0,61,40,21,0.656,31.3,111.9,5.8,0.189,0.264,0.7,0.124,0.9,0.281,9.9,7.7,8.6,29.6,0.08,3,3,20,13,3,15,2,3,4,11,19,2,5,19,20,19,20,7,2020-21
