,TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,SEASON_ID
3,1610612743,2019,00,Will Barton,Will,will-barton,5,G,6-5,181,"JAN 06, 1991",29.0,7,Memphis,203115,,2019-20
4,1610612743,2019,00,Keita Bates-Diop,Keita,keita-bates-diop,6,F,6-8,229,"JAN 23, 1996",24.0,1,Ohio State,1628966,,2019-20
5,1610612743,2019,00,Mason Plumlee,Mason,mason-plumlee,7,F-C,6-11,254,"MAR 05, 1990",30.0,6,Duke,203486,,2019-20
6,1610612743,2019,00,Jerami Grant,Jerami,jerami-grant,9,F,6-8,210,"MAR 12, 1994",26.0,5,Syracuse,203924,,2019-20
7,1610612743,2019,00,Bol Bol,Bol,bol-bol,10,C-F,7-2,220,"NOV 16, 1999",20.0,R,Oregon,1629626,,2019-20
8,1610612743,2019,00,Monte Morris,Monte,monte-morris,11,G,6-2,183,"JUN 27, 1995",25.0,2,Iowa State,1628420,,2019-20
9,1610612743,2019,00,Gary Harris,Gary,gary-harris,14,G,6-4,210,"SEP 14, 1994",25.0,5,Michigan State,203914,,2019-20
10,1610612743,2019,00,Nikola Jokic,Nikola,nikola-jokic,15,C,7-0,284,"FEB 19, 1995",25.0,4,Mega Basket,203999,#41 Pick in 2014 Draft,2019-20
11,1610612743,2019,00,Tyler Cook,Tyler,tyler-cook,25,F,6-8,255,"SEP 23, 1997",22.0,R,Iowa,1629076,,2019-20
12,1610612743,2019,00,Jamal Murray,Jamal,jamal-murray,27,G,6-4,215,"FEB 23, 1997",23.0,3,Kentucky,1627750,#7 Pick in 2016 Draft,2019-20
13,1610612743,2019,00,Troy Daniels,Troy,troy-daniels,30,G,6-4,200,"JUL 15, 1991",28.0,6,Virginia Commonwealth,203584,,2019-20
14,1610612743,2019,00,Vlatko Cancar,Vlatko,vlatko-cancar,31,F,6-8,236,"APR 10, 1997",23.0,R,San Pablo Burgos,1628427,#49 Pick in 2017 Draft,2019-20
15,1610612743,2019,00,Noah Vonleh,Noah,noah-vonleh,32,F,6-10,257,"AUG 24, 1995",24.0,5,Indiana,203943,,2019-20
16,1610612743,2019,00,PJ Dozier,PJ,pj-dozier,35,G-F,6-6,205,"OCT 25, 1996",23.0,2,South Carolina,1628408,,2019-20
0,1610612743,2018,00,Isaiah Thomas,Isaiah,isaiah-thomas,0,G,5-9,185,"FEB 07, 1989",30.0,7,Washington,202738,,2018-19
1,1610612743,2018,00,Michael Porter Jr.,Michael,michael-porter-jr,1,F,6-10,210,"JUN 29, 1998",21.0,R,Missouri,1629008,#14 Pick in 2018 Draft,2018-19
2,1610612743,2018,00,Torrey Craig,Torrey,torrey-craig,3,F,6-7,215,"DEC 19, 1990",28.0,1,South Carolina Upstate,1628470,,2018-19
3,1610612743,2018,00,Paul Millsap,Paul,paul-millsap,4,F,6-8,246,"FEB 10, 1985",34.0,12,Louisiana Tech,200794,,2018-19
4,1610612743,2018,00,Will Barton,Will,will-barton,5,G,6-6,190,"JAN 06, 1991",28.0,6,Memphis,203115,,2018-19
5,1610612743,2018,00,Brandon Goodwin,Brandon,brandon-goodwin,6,G,6-2,180,"OCT 02, 1995",23.0,R,Florida Gulf Coast,1629164,,2018-19
6,1610612743,2018,00,Trey Lyles,Trey,trey-lyles,7,F,6-10,234,"NOV 05, 1995",23.0,3,Kentucky,1626168,,2018-19
7,1610612743,2018,00,Jarred Vanderbilt,Jarred,jarred-vanderbilt,8,F,6-9,214,"APR 03, 1999",20.0,R,Kentucky,1629020,,2018-19
8,1610612743,2018,00,Monte Morris,Monte,monte-morris,11,G,6-3,175,"JUN 27, 1995",24.0,1,Iowa State,1628420,,2018-19
9,1610612743,2018,00,Gary Harris,Gary,gary-harris,14,G,6-4,210,"SEP 14, 1994",24.0,4,Michigan State,203914,,2018-19
10,1610612743,2018,00,Nikola Jokic,Nikola,nikola-jokic,15,C,7-0,250,"FEB 19, 1995",24.0,3,Mega Basket,203999,#41 Pick in 2014 Draft,2018-19
11,1610612743,2018,00,Tyler Lydon,Tyler,tyler-lydon,20,F,6-10,225,"APR 09, 1996",23.0,1,Syracuse,1628399,,2018-19
12,1610612743,2018,00,Mason Plumlee,Mason,mason-plumlee,24,F-C,6-11,235,"MAR 05, 1990",29.0,5,Duke,203486,,2018-19
13,1610612743,2018,00,Malik Beasley,Malik,malik-beasley,25,G,6-5,195,"NOV 26, 1996",22.0,2,Florida State,1627736,,2018-19
14,1610612743,2018,00,Jamal Murray,Jamal,jamal-murray,27,G,6-4,207,"FEB 23, 1997",22.0,2,Kentucky,1627750,#7 Pick in 2016 Draft,2018-19
15,1610612743,2018,00,Juancho Hernangomez,Juancho,juancho-hernangomez,41,F,6-9,230,"SEP 28, 1995",23.0,2,Estudiantes,1627823,,2018-19
16,1610612743,2018,00,Thomas Welsh,Thomas,thomas-welsh,45,C,7-0,255,"FEB 03, 1996",23.0,R,UCLA,1629118,,2018-19
0,1610612743,2017,00,Darrell Arthur,Darrell,darrell-arthur,00,F,6-9,235,"MAR 25, 1988",30.0,8,Kansas,201589,,2017-18
1,1610612743,2017,00,Torrey Craig,Torrey,torrey-craig,3,G-F,6-6,215,"DEC 19, 1990",27.0,R,South Carolina Upstate,1628470,,2017-18
2,1610612743,2017,00,Paul Millsap,Paul,paul-millsap,4,F,6-8,246,"FEB 10, 1985",33.0,11,Louisiana Tech,200794,,2017-18
3,1610612743,2017,00,Will Barton,Will,will-barton,5,F-G,6-6,190,"JAN 06, 1991",27.0,5,Memphis,203115,,2017-18
4,1610612743,2017,00,Trey Lyles,Trey,trey-lyles,7,F,6-10,234,"NOV 05, 1995",22.0,2,Kentucky,1626168,,2017-18
5,1610612743,2017,00,Monte Morris,Monte,monte-morris,11,G,6-3,175,"JUN 27, 1995",23.0,R,Iowa State,1628420,,2017-18
6,1610612743,2017,00,Gary Harris,Gary,gary-harris,14,G,6-4,210,"SEP 14, 1994",23.0,3,Michigan State,203914,,2017-18
7,1610612743,2017,00,Nikola Jokic,Nikola,nikola-jokic,15,C,6-10,250,"FEB 19, 1995",23.0,2,Mega Basket,203999,#41 Pick in 2014 Draft,2017-18
8,1610612743,2017,00,Tyler Lydon,Tyler,tyler-lydon,20,F,6-9,220,"APR 09, 1996",22.0,R,Syracuse,1628399,,2017-18
9,1610612743,2017,00,Wilson Chandler,Wilson,wilson-chandler,21,F,6-9,225,"MAY 10, 1987",31.0,9,DePaul,201163,,2017-18
10,1610612743,2017,00,Richard Jefferson,Richard,richard-jefferson,22,F,6-7,233,"JUN 21, 1980",38.0,16,Arizona,2210,,2017-18
11,1610612743,2017,00,Mason Plumlee,Mason,mason-plumlee,24,C-F,6-11,255,"MAR 05, 1990",28.0,4,Duke,203486,,2017-18
12,1610612743,2017,00,Malik Beasley,Malik,malik-beasley,25,G,6-5,196,"NOV 26, 1996",21.0,1,Florida State,1627736,,2017-18
13,1610612743,2017,00,Jamal Murray,Jamal,jamal-murray,27,G,6-4,207,"FEB 23, 1997",21.0,1,Kentucky,1627750,#7 Pick in 2016 Draft,2017-18
